,id,sex,sizeCurrent,sizeGroup,ageGroup,ageString,breedString,colorDetails,vocalLevel,sheddingLevel,energyLevel,exerciseNeeds,isSpecialNeeds,isCurrentVaccinations,isDeclawed,isHousetrained,isKidsOk,adultSexesOk,obedienceTraining,ownerExperience,newPeopleReaction,pictureCount,videoCount,adoptedDate,availableDate,length_of_stay
2,10000193,Male,14.0,Large,Adult,8 Years 8 Months,Domestic Short Hair / Mixed,,,,,,,,,True,True,,,,,5,0,2016-08-13 00:00:00+00:00,2016-05-17 00:00:00+00:00,88.0
9,10000236,Female,,,Adult,10 Years 6 Months,Domestic Short Hair (short coat),,,,,,False,True,False,True,,,,,,4,0,2016-06-25 00:00:00+00:00,2016-05-14 00:00:00+00:00,42.0
10,10000242,Female,,,Baby,6 Years 8 Months,Domestic Short Hair (short coat),White w/calico,,,,,False,True,False,True,,,,,,2,0,2016-05-28 00:00:00+00:00,2016-05-14 00:00:00+00:00,14.0
11,10000252,Female,,,Baby,6 Years 8 Months,Domestic Short Hair (short coat),Tabby w/white,,,,,False,True,False,True,,,,,,2,0,2016-05-28 00:00:00+00:00,2016-05-14 00:00:00+00:00,14.0
20,10000959,Male,,Medium,Adult,,Domestic Short Hair (short coat),,,,,,,,,,,,,,,1,0,2016-06-11 00:00:00+00:00,2016-05-13 00:00:00+00:00,29.0
21,10001332,Female,,Medium,Young,,Domestic Medium Hair (medium coat),tabby w/white,,,,,,,,,,,,,,0,0,2016-05-19 00:00:00+00:00,2016-05-14 00:00:00+00:00,5.0
22,1000166,Male,,Small,,16 Years 6 Months,Domestic Short Hair - black and white,,,,,,,True,False,True,,,,,Friendly,1,0,2008-11-07 00:00:00+00:00,2008-11-07 00:00:00+00:00,0.0
23,1000173,Male,,,,16 Years 6 Months,Domestic Short Hair - black and white (short coat),,,,,,,True,False,True,,,,,Friendly,1,0,2008-11-07 00:00:00+00:00,2008-11-04 00:00:00+00:00,3.0
30,10002465,Male,,Medium,Young,,Domestic Long Hair (long coat),tabby with white,,,,,,,,,,,,,,1,0,2016-05-20 00:00:00+00:00,2016-05-14 00:00:00+00:00,6.0
31,10002563,Male,,Medium,Young,,Domestic Medium Hair (medium coat),orange tabby,,,,,,,,,,,,,,1,0,2016-05-24 00:00:00+00:00,2016-05-14 00:00:00+00:00,10.0
32,10003743,Female,10.0,Medium,Adult,14 Years 8 Months,Calico / Domestic Short Hair (short coat),,,,,,False,True,False,True,,,,,,4,0,2016-11-09 00:00:00+00:00,2016-05-14 00:00:00+00:00,179.0
36,10003771,Female,,Medium,Adult,,Domestic Short Hair (short coat),torbi,,,,,,,,,,,,,,1,0,2016-06-10 00:00:00+00:00,2016-05-14 00:00:00+00:00,27.0
51,10004167,Male,,Small,Baby,6 Years 8 Months,Domestic Short Hair / Mixed,,,,,,,,,True,True,,,,,3,0,2016-07-10 00:00:00+00:00,2016-06-01 00:00:00+00:00,39.0
52,10004171,Female,,,Young,9 Years 1 Month,Domestic Medium Hair (medium coat),& White Tabby,,Moderate,Moderate,,False,True,False,,True,All,,Species,Friendly,2,0,2016-07-08 00:00:00+00:00,2016-06-30 00:00:00+00:00,8.0
53,10004172,Female,,,Young,9 Years 1 Month,Domestic Medium Hair (medium coat),,,Moderate,Moderate,,False,,False,,True,All,,Species,Friendly,2,0,2016-07-15 00:00:00+00:00,2016-06-30 00:00:00+00:00,15.0
54,10004173,Female,,,Young,9 Years 1 Month,Domestic Short Hair (short coat),,,Moderate,Moderate,,False,True,False,,True,All,,Species,Friendly,5,0,2017-01-28 00:00:00+00:00,2016-06-30 00:00:00+00:00,212.0
55,10004174,Female,,,Young,9 Years 1 Month,Domestic Short Hair (medium coat),,,Moderate,,,False,,False,,True,All,,Species,Protective,2,0,2016-07-20 00:00:00+00:00,2016-06-30 00:00:00+00:00,20.0
56,10004175,Female,,Small,Baby,6 Years 8 Months,Domestic Short Hair / Mixed,,,,,,,,,True,True,,,,,4,0,2016-06-17 00:00:00+00:00,2016-06-01 00:00:00+00:00,16.0
60,10004197,Male,,Small,Baby,8 Years 4 Months,Domestic Short Hair / Mixed,,,,,,,,,True,True,,,,,5,2,2016-07-15 00:00:00+00:00,2016-06-01 00:00:00+00:00,44.0
